                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                0.99918,                0.79287,                 1.2256,                0.80269,                0.70582,                0.76855,                0.49317,                 1.1926,                0.89924,                 1.4666,             0.00018752,             0.00018752,             0.00018752
                     67,                  1.006,                0.79338,                 1.2239,                0.83521,                0.68226,                0.75708,                0.49291,                 1.1935,                 0.8697,                  1.476,             0.00018231,             0.00018231,             0.00018231
                     68,                0.99603,                0.77695,                 1.2188,                0.79576,                0.69326,                0.77161,                0.49721,                 1.1784,                0.86883,                 1.4593,              0.0001771,              0.0001771,              0.0001771
                     69,                 1.0122,                0.78861,                 1.2308,                0.77359,                0.74004,                0.77767,                0.49879,                  1.184,                0.85377,                 1.4642,              0.0001719,              0.0001719,              0.0001719
                     70,                 1.0235,                0.79919,                 1.2387,                0.77717,                0.72529,                 0.7729,                 0.4812,                 1.1875,                0.88367,                 1.4618,             0.00016669,             0.00016669,             0.00016669
                     71,                0.98714,                 0.7485,                  1.212,                0.76461,                0.75078,                0.78878,                0.50204,                 1.1761,                0.82874,                 1.4562,             0.00016148,             0.00016148,             0.00016148
                     72,                0.97863,                0.75025,                 1.2076,                  0.828,                0.70622,                0.77505,                0.50388,                 1.1879,                0.89282,                   1.47,             0.00015627,             0.00015627,             0.00015627
                     73,                0.96773,                0.74796,                 1.2092,                0.80552,                0.74268,                0.79472,                0.50917,                 1.1812,                0.81744,                 1.4626,             0.00015107,             0.00015107,             0.00015107
                     74,                0.99741,                0.75792,                 1.2179,                0.79032,                0.72065,                0.78298,                0.51482,                 1.1828,                0.82907,                 1.4671,             0.00014586,             0.00014586,             0.00014586
                     75,                0.96919,                0.73817,                 1.2048,                0.82597,                0.71438,                0.78233,                0.50966,                 1.1847,                 0.8532,                 1.4625,             0.00014065,             0.00014065,             0.00014065
                     76,                0.96597,                0.73251,                 1.2023,                0.78163,                0.73931,                 0.7787,                0.51028,                 1.1655,                0.81521,                 1.4552,             0.00013544,             0.00013544,             0.00013544
                     77,                0.96095,                0.72716,                 1.1959,                0.83879,                0.69367,                0.78039,                0.49859,                 1.1859,                0.83955,                 1.4673,             0.00013024,             0.00013024,             0.00013024
                     78,                0.96351,                0.72963,                 1.1971,                0.78415,                0.72109,                 0.7818,                0.51555,                 1.1717,                0.80894,                 1.4554,             0.00012503,             0.00012503,             0.00012503
                     79,                0.95265,                0.71757,                 1.1934,                0.84011,                0.71963,                0.80261,                0.52443,                 1.1727,                 0.8033,                 1.4569,             0.00011982,             0.00011982,             0.00011982
                     80,                0.95782,                0.72762,                 1.1978,                0.77052,                0.73678,                0.78358,                0.52131,                 1.1703,                0.82061,                 1.4563,             0.00011462,             0.00011462,             0.00011462
                     81,                 0.9608,                0.72782,                 1.2009,                0.76066,                0.75044,                0.79449,                0.52779,                 1.1703,                0.80143,                 1.4537,             0.00010941,             0.00010941,             0.00010941
                     82,                0.95891,                 0.7104,                 1.1978,                0.80614,                0.73321,                0.79217,                0.51463,                 1.1831,                0.80476,                  1.463,              0.0001042,              0.0001042,              0.0001042
                     83,                0.94139,                0.70882,                 1.1914,                0.81354,                0.75912,                0.80696,                0.52703,                 1.1747,                0.79884,                 1.4652,             9.8993e-05,             9.8993e-05,             9.8993e-05
                     84,                0.93717,                0.71075,                 1.1873,                0.85873,                0.72039,                0.80548,                0.51501,                 1.1784,                0.78818,                 1.4611,             9.3786e-05,             9.3786e-05,             9.3786e-05
                     85,                0.94288,                0.71126,                 1.1854,                0.82189,                0.74603,                0.81005,                 0.5212,                 1.1699,                0.78602,                 1.4538,             8.8578e-05,             8.8578e-05,             8.8578e-05
                     86,                0.93998,                0.69758,                 1.1835,                0.84247,                0.72765,                0.80553,                0.52254,                 1.1718,                0.79392,                 1.4534,             8.3371e-05,             8.3371e-05,             8.3371e-05
                     87,                 0.9305,                 0.6952,                 1.1786,                 0.8243,                0.74241,                0.81038,                0.52492,                 1.1707,                0.80033,                 1.4588,             7.8164e-05,             7.8164e-05,             7.8164e-05
                     88,                0.93377,                0.70008,                 1.1878,                0.82738,                0.74168,                 0.8077,                0.52261,                  1.172,                0.80251,                 1.4553,             7.2956e-05,             7.2956e-05,             7.2956e-05
                     89,                0.94247,                0.70438,                 1.1875,                0.86205,                0.74198,                0.82405,                0.52945,                 1.1662,                0.78489,                 1.4486,             6.7749e-05,             6.7749e-05,             6.7749e-05
                     90,                0.93272,                0.69817,                 1.1826,                0.86744,                 0.7318,                0.81954,                0.51971,                 1.1652,                 0.7962,                 1.4522,             6.2541e-05,             6.2541e-05,             6.2541e-05
                     91,                0.87657,                0.55791,                 1.1695,                0.85377,                0.73342,                0.81142,                0.51826,                 1.1688,                0.77754,                 1.4582,             5.7334e-05,             5.7334e-05,             5.7334e-05
                     92,                0.86303,                0.53699,                 1.1617,                0.83023,                0.75261,                0.81911,                0.52095,                 1.1693,                0.77032,                  1.457,             5.2127e-05,             5.2127e-05,             5.2127e-05
                     93,                0.84947,                0.51922,                 1.1452,                0.84119,                0.74825,                0.82039,                 0.5237,                  1.172,                0.77061,                  1.461,             4.6919e-05,             4.6919e-05,             4.6919e-05
                     94,                0.83739,                0.51861,                 1.1363,                0.85171,                0.74988,                0.82947,                0.52653,                 1.1615,                 0.7542,                 1.4575,             4.1712e-05,             4.1712e-05,             4.1712e-05
                     95,                0.84084,                0.51931,                   1.15,                0.84048,                0.76119,                0.83207,                0.53315,                 1.1599,                0.75933,                 1.4566,             3.6504e-05,             3.6504e-05,             3.6504e-05
                     96,                0.83367,                0.50701,                 1.1319,                 0.8573,                0.75306,                0.82697,                0.52718,                 1.1624,                0.75511,                 1.4553,             3.1297e-05,             3.1297e-05,             3.1297e-05
                     97,                0.83034,                0.50934,                 1.1361,                0.85644,                0.74647,                0.81879,                0.52141,                 1.1608,                0.75657,                 1.4539,              2.609e-05,              2.609e-05,              2.609e-05
                     98,                0.82253,                 0.5007,                 1.1344,                0.85282,                0.75031,                0.82199,                0.52235,                 1.1609,                0.75567,                 1.4532,             2.0882e-05,             2.0882e-05,             2.0882e-05
                     99,                0.81591,                0.49987,                 1.1321,                0.85376,                 0.7561,                0.83041,                0.52772,                 1.1606,                0.75403,                 1.4539,             1.5675e-05,             1.5675e-05,             1.5675e-05
                    100,                0.81793,                0.49697,                 1.1327,                0.85683,                0.76202,                0.83212,                0.53018,                 1.1572,                0.74468,                 1.4514,             1.0467e-05,             1.0467e-05,             1.0467e-05
